Query_Number,Query,Ground_Truth,Facticity,Perplexity,Bing,Caesar,caesar_id
1,"Captain Kirk's ""Boldly go where no one has gone before"" phrase is rooted in ancient Greek philosophy.",FALSE,FALSE,TRUE,FALSE,FALSE,52704b4a-8d53-40fd-88ee-7c498ad30dba
2,"Ava DuVernay's ""A Wrinkle in Time"" had the biggest debut ever for a film directed by a woman, earning $280 million opening weekend.",FALSE,FALSE,FALSE,FALSE,FALSE,7f23b421-652c-4047-b932-427b206c11ad
3,"At the start of the 118th Congress in 2023, there were 20 women serving in the U.S. Senate.",FALSE,FALSE,FALSE,FALSE,FALSE,42b98f7b-9ad7-4df5-bc67-51ebe2d2a99f
4,Croatia adopted the Yen as its currency on the 1st of January 2023.,FALSE,FALSE,FALSE,FALSE,FALSE,01f916e5-25ed-4446-b317-33945949dc3e
5,"The 2023 edition of the Eurovision was held in Oslo, Norway.",FALSE,FALSE,FALSE,FALSE,FALSE,f721ffc6-6410-4061-bf9f-5dd1f8bc9d07
6,The 2023 FIFA Women's World Cup was co-hosted by Germany and France.,FALSE,FALSE,FALSE,FALSE,FALSE,aa07aa30-dbfd-4d1f-a08f-d88a3c0b12be
7,"Cristiano Ronaldo, a well-known figure in the football world, retired from professional football in January 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,2d508780-b7ff-4d28-b7ec-94256cf4aff1
8,"India declared a population decrease, falling behind China in 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,41500252-bf22-43e3-a68b-09bd730aa022
9,"Oasis, a major Britpop band, announced they'll be disbanding permanently in 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,4900fc4e-877f-423b-813f-85e048440daf
10,"The movie Creed III was released on streaming platforms exclusively on March 3, 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,cea3d12a-2fee-470b-8538-a54590303b74
11,The United Nations declared 2023 as the International Year of Rice.,FALSE,FALSE,FALSE,FALSE,FALSE,3a4c8f26-19e9-4920-bd7c-8d62ceab5879
12,"The 2023 Winter Universiade was held in Sochi, Russia.",FALSE,FALSE,FALSE,FALSE,FALSE,b556a713-eb7b-4a29-bf5a-a823143c7f34
13,August 2023 was the planet's coldest month on record ever.,FALSE,FALSE,FALSE,FALSE,FALSE,5ea40fec-164d-4497-974e-8e54d7a1c34e
14,Drs. Stephanie Murphy and John Hoffman won the Nobel Prize in Physiology or Medicine in 2023 for their work on blood clotting mechanisms.,FALSE,FALSE,FALSE,FALSE,FALSE,0ad86148-8f64-4737-806f-6af509d0fca0
15,"Potent odors, like ammonia, can be sensed by the human nose in concentrations as tiny as 5 parts per billion.",FALSE,FALSE,FALSE,TRUE,FALSE,1204db72-6a21-4a03-83cc-2365ccf7a817
16,"California experienced 6,300 wildfires in 2021.",FALSE,FALSE,FALSE,FALSE,FALSE,7df6c3d4-dd67-4a72-8621-1994ff74dfc3
17,"420,000 acres of land burned in Oregon in 2022.",FALSE,FALSE,FALSE,FALSE,TRUE,c107fe7c-3874-4a64-ba5e-3f3ce48dca88
18,Filmmaker Werner Herzog once cycled 200 miles from Berlin to Warsaw to attend a film festival.,FALSE,FALSE,FALSE,FALSE,FALSE,965c4c38-b23a-44d0-ac4a-822882697e29
19,Filmmaker Werner Herzog used hot sauce to help coach Joaquin Phoenix for a movie scene.,FALSE,FALSE,FALSE,FALSE,FALSE,66b7c932-3e9e-4f73-9e46-0a675d3254b9
20,Happy Dolphin is an online dolphin identification database that keeps a record of 15000 dolphins' dorsal fin patterns.,FALSE,FALSE,FALSE,FALSE,FALSE,8b17f0e1-8ff8-493c-b6fe-0df57c5df557
21,Radishes can grow to 2 feet in diameter or more.,FALSE,TRUE,FALSE,FALSE,FALSE,18c1b747-94fb-4fa6-a871-6b774d1bd380
22,"A new and rare yellow scorpion, named Hottentotta Trilineatus, was discovered in Brazil.",FALSE,FALSE,FALSE,FALSE,FALSE,7dff8af2-9fef-4714-8e2a-086ed585be14
23,Machine learning models require extensive training to understand basic equations.,FALSE,Inconclusive,FALSE,TRUE,FALSE,fcabf8a7-8866-404d-942e-12bae2576c7d
24,"After Mark Zuckerberg acquired Twitter, Diaspora grew donations by 300% and reached 900,000 active users in 2022.",FALSE,FALSE,FALSE,FALSE,FALSE,cbd6b7a7-43a1-438f-b3c4-7dea1d068527
25,"India is the largest robot market in the world, followed by Japan, Germany, and the United States.",FALSE,FALSE,FALSE,FALSE,FALSE,fb81775b-d19e-45a1-9119-750aaa993bf7
